"timetable_id","route_id","direction_id","start_date","end_date","monday","tuesday","wednesday","thursday","friday","saturday","sunday","start_time","end_time","timetable_label","service_notes","orientation","timetable_page_id","timetable_sequence","direction_name","include_exceptions","show_trip_continuation"
"1","10U","1","20251010","20251130","1","1","1","1","1","0","0","04:00:00","07:00:00","DIREZIONE: C. SETTEMBRINI Fer./P.CAIO MARIO Fest., PASSAGGI MATTUTINI","frequenza","horizontal","10U_As","0","","0","0"
"2","10U","1","20251010","20251130","1","1","1","1","1","0","0","21:00:00","27:00:00","DIREZIONE: C. SETTEMBRINI Fer./P.CAIO MARIO Fest., PASSAGGI SERALI","frequenza","horizontal","10U_As","1","","0","0"
"3","10U","1","20251010","20251130","0","0","0","0","0","1","0","04:00:00","07:00:00","DIREZIONE: C. SETTEMBRINI Fer./P.CAIO MARIO Fest., PASSAGGI MATTUTINI","frequenza","horizontal","10U_As","2","","0","0"
"4","10U","1","20251010","20251130","0","0","0","0","0","1","0","21:00:00","27:00:00","DIREZIONE: C. SETTEMBRINI Fer./P.CAIO MARIO Fest., PASSAGGI SERALI","frequenza","horizontal","10U_As","3","","0","0"
"5","10U","1","20251010","20251130","0","0","0","0","0","0","1","04:00:00","09:00:00","DIREZIONE: C. SETTEMBRINI Fer./P.CAIO MARIO Fest., PASSAGGI MATTUTINI","frequenza","horizontal","10U_As","4","","0","0"
"6","10U","1","20251010","20251130","0","0","0","0","0","0","1","21:00:00","27:00:00","DIREZIONE: C. SETTEMBRINI Fer./P.CAIO MARIO Fest., PASSAGGI SERALI","frequenza","horizontal","10U_As","5","","0","0"
"7","10U","0","20251010","20251130","1","1","1","1","1","0","0","04:00:00","07:00:00","DIREZIONE: PIAZZA STATUTO, PASSAGGI MATTUTINI","frequenza","horizontal","10U_Di","0","","0","0"
"8","10U","0","20251010","20251130","1","1","1","1","1","0","0","21:00:00","27:00:00","DIREZIONE: PIAZZA STATUTO, PASSAGGI SERALI","frequenza","horizontal","10U_Di","1","","0","0"
"9","10U","0","20251010","20251130","0","0","0","0","0","1","0","04:00:00","07:00:00","DIREZIONE: PIAZZA STATUTO, PASSAGGI MATTUTINI","frequenza","horizontal","10U_Di","2","","0","0"
"10","10U","0","20251010","20251130","0","0","0","0","0","1","0","21:00:00","27:00:00","DIREZIONE: PIAZZA STATUTO, PASSAGGI SERALI","frequenza","horizontal","10U_Di","3","","0","0"
"11","10U","0","20251010","20251130","0","0","0","0","0","0","1","04:00:00","09:00:00","DIREZIONE: PIAZZA STATUTO, PASSAGGI MATTUTINI","frequenza","horizontal","10U_Di","4","","0","0"
"12","10U","0","20251010","20251130","0","0","0","0","0","0","1","21:00:00","27:00:00","DIREZIONE: PIAZZA STATUTO, PASSAGGI SERALI","frequenza","horizontal","10U_Di","5","","0","0"
"13","102U","1","20251010","20251130","1","1","1","1","1","0","0","","","DIREZIONE: NAVETTA CIMITERO PARCO","dal lunedì al venerdì","horizontal","102U_As","0","","0","0"
"14","102U","1","20251010","20251130","0","0","0","0","0","1","0","","","DIREZIONE: NAVETTA CIMITERO PARCO","sabato","horizontal","102U_As","1","","0","0"
"15","102U","1","20251010","20251130","0","0","0","0","0","0","1","","","DIREZIONE: NAVETTA CIMITERO PARCO","domenica e festivi","horizontal","102U_As","2","","0","0"
"16","102U","0","20251010","20251130","1","1","1","1","1","0","0","","","DIREZIONE: NAVETTA CIMITERO PARCO","dal lunedì al venerdì","horizontal","102U_Di","0","","0","0"
